연번,소관명,세부사업명,예산(백만원)
1,중소벤처기업부,지역특화산업육성(세종),2796
2,중소벤처기업부,지역특화산업육성+(세종)(R&D),300
3,중소벤처기업부,지역특화산업육성(제주),5013
4,중소벤처기업부,지역특화산업육성+(제주)(R&D),700
5,중소벤처기업부,산학연CollaboR&D(R&D),56966
6,중소벤처기업부,규제자유특구혁신사업육성,8926
7,중소벤처기업부,규제자유특구혁신사업육성(R&D),30857
8,중소벤처기업부,지역특화산업육성,85081
9,중소벤처기업부,지역특화산업육성+(R&D),8150
10,중소벤처기업부,기술·경영지도,3636
11,중소벤처기업부,팩토링금융(중기부),99370
12,중소벤처기업부,혁신선도형중소기업투자,75263
13,중소벤처기업부,소공인특화지원,119870
14,중소벤처기업부,소상공인성장지원,265085
15,중소벤처기업부,소상공인스마트화지원,112185
16,중소벤처기업부,소상공인재기지원,274806
17,중소벤처기업부,기업가형소상공인육성,83422
18,중소벤처기업부,소상공인지원(융자),3770000
19,중소벤처기업부,지역신용보증재단재보증,210940
20,중소벤처기업부,Tech-Bridge활용상용화기술개발(R&D),4069
21,중소벤처기업부,중소기업기술혁신개발(R&D)(특별),25692
22,중소벤처기업부,중소기업상용화기술개발(R&D)(특별),2609
23,중소벤처기업부,수출지원기반활용,127560
24,중소벤처기업부,중소기업해외시장진출,82058
25,중소벤처기업부,대ㆍ중소기업동반성장생태계구축,17844
26,중소벤처기업부,여성기업육성,10485
27,중소벤처기업부,장애인기업육성,10597
28,중소벤처기업부,기술혁신기반조성,13359
29,중소벤처기업부,중소기업기술거래활성화지원사업,3146
30,중소벤처기업부,건강기능식품개발지원사업(R&D),1200
31,중소벤처기업부,공정·품질기술개발(R&D),4675
32,중소벤처기업부,스마트제조혁신기술개발사업(R&D),51690
33,중소벤처기업부,중소기업기술혁신개발(R&D),567983
34,중소벤처기업부,중소기업상용화기술개발(R&D),36199
35,중소벤처기업부,창업성장기술개발(R&D),596010
36,중소벤처기업부,ICT융합스마트공장보급·확산,236076
37,중소벤처기업부,데이터인프라구축(정보화),5836
38,중소벤처기업부,중소기업스마트서비스지원,10888
39,중소벤처기업부,혁신제품지정사업,400
40,중소벤처기업부,지역특화제조데이터활성화,6000
41,중소벤처기업부,매출채권보험계정출연,20000
42,중소벤처기업부,중소기업협동조합육성,16957
43,중소벤처기업부,원스톱기업애로종합지원,10997
44,중소벤처기업부,공공구매제도운영,5703
45,중소벤처기업부,마케팅지원사업,21827
46,중소벤처기업부,중소기업혁신바우처지원사업,61386
47,중소벤처기업부,중소기업연구인력지원(R&D),34065
48,중소벤처기업부,산학협력인력양성,52347
49,중소벤처기업부,인력유입인프라조성,19347
50,중소벤처기업부,벤처기업경쟁력강화,28282
51,중소벤처기업부,벤처캐피탈선진화,3533
52,중소벤처기업부,중소기업재기지원,16629
53,중소벤처기업부,창업생태계활성화지원,87238
54,중소벤처기업부,민관협력창업자육성,186281
55,중소벤처기업부,창업사업화지원,403567
56,중소벤처기업부,온라인수출플랫폼(정보화),3447
57,중소벤처기업부,글로벌화지원플랫폼,32141
58,중소벤처기업부,글로벌협력기반구축,1840
59,중소벤처기업부,긴급경영안정자금(융자),250000
60,중소벤처기업부,신성장기반자금(융자),1311110
61,중소벤처기업부,신시장진출지원자금(융자),382450
62,중소벤처기업부,정책자금지원성과향상,75588
63,중소벤처기업부,기업인력애로센터활용취업지원,5172
64,중소벤처기업부,연수사업,23785
65,중소벤처기업부,재도약지원자금(융자),750100
66,중소벤처기업부,재도약촉진,41549
67,중소벤처기업부,창업성공패키지,100031
68,중소벤처기업부,혁신창업사업화자금(융자),1635800
69,중소벤처기업부,포스트규제자유특구연계(R&D),613
70,중소벤처기업부,상권활성화(자율),22381
71,중소벤처기업부,중소벤처기업구조혁신지원R&D(R&D),1333
72,중소벤처기업부,기술보증기금출연,40000
73,중소벤처기업부,상권활성화(세종),780
74,중소벤처기업부,글로벌창업생태계촉진,50410
75,중소벤처기업부,밸류체인안정화자금,200000
76,중소벤처기업부,디지털기반중소제조산재예방기술개발(R&D),1650
77,중소벤처기업부,지역혁신선도기업육성(R&D),21560
78,중소벤처기업부,상권활성화사업(제주),970
79,기획재정부,그린뉴딜유망기업100(R&D),1875
80,기획재정부,탄소중립설비투자지원(중기부),13955
81,고용노동부,고용유지지원금,70255
82,고용노동부,고용창출장려금,26003
83,고용노동부,청년추가고용장려금,1710
84,고용노동부,지역고용촉진지원금,5911
85,고용노동부,청년내일채움공제(고보),9514
86,고용노동부,고용안정장려금,390894
87,고용노동부,사업주직업훈련지원금,300670
88,고용노동부,국가인적자원개발컨소시엄지원,119225
89,고용노동부,산업현장일학습병행지원,274632
90,고용노동부,기능인력양성및장비확충(폴리텍),57689
91,고용노동부,지역·산업맞춤형일자리창출지원,107864
92,고용노동부,근로자건강보호,45295
93,고용노동부,안전인증및안전검사,6324
94,고용노동부,업종별재해예방,163152
95,고용노동부,유해작업환경개선,75526
96,고용노동부,산재예방시설융자,458840
97,고용노동부,클린사업장조성지원,481792
98,고용노동부,산재근로자재활복지지원,77937
99,고용노동부,사회적기업지원,28412
100,고용노동부,청년일자리창출지원,777181
101,고용노동부,청년내일채움공제(일반),19854
102,고용노동부,청년취업진로및일경험지원,291779
103,고용노동부,중장년층취업지원,18443
104,고용노동부,근로조건개선지원,10402
105,고용노동부,체불청산지원융자(융자),70352
106,고용노동부,장애인고용증진융자(융자),1072
107,고용노동부,청년미래플러스,2000
108,고용노동부,중장년인턴제,3640
109,고용노동부,노동약자지원,15989
110,고용노동부,일터혁신상생컨설팅,40756
111,과학기술정보통신부,산학연협력활성화지원(R&D),20220
112,과학기술정보통신부,지역디지털인재양성,57617
113,과학기술정보통신부,디지털트윈기반스마트시티LAB실증단지조성(R&D),864
114,과학기술정보통신부,정보통신방송해외진출지원,1878
115,과학기술정보통신부,전파기반신산업창출및중소기업육성,6137
116,과학기술정보통신부,전파기반중소기업전자파대책기술지원,729
117,과학기술정보통신부,ICT창의기업육성,9104
118,과학기술정보통신부,VR·AR콘텐츠산업육성,29378
119,과학기술정보통신부,디지털콘텐츠기업경쟁력강화,6765
120,과학기술정보통신부,클라우드컴퓨팅산업육성(정보화),44181
121,과학기술정보통신부,데이터기반산업경쟁력강화,39797
122,과학기술정보통신부,사물인터넷신산업육성선도(정보화),8796
123,과학기술정보통신부,방송통신산업기술개발(R&D),76810
124,과학기술정보통신부,나노·소재기술개발(R&D),300436
125,과학기술정보통신부,한국과학기술원부설나노종합기술원지원(R&D),36300
126,과학기술정보통신부,지능정보네트워크용광통신부품상용화실증확산,1541
127,과학기술정보통신부,스마트팜다부처패키지혁신기술개발(R&D),8498
128,과학기술정보통신부,전통문화혁신성장융합연구(R&D),633
129,과학기술정보통신부,원자력국제협력기반조성사업(R&D),7476
130,과학기술정보통신부,과학치안공공연구성과실용화촉진시범사업(R&D),1710
131,과학기술정보통신부,기업부설연구소및원스톱서비스운영·지원,6940
132,과학기술정보통신부,대구경북과학기술원연구운영비지원(R&D),97697
133,과학기술정보통신부,한국과학기술원연구운영비지원(R&D),218356
134,과학기술정보통신부,인재활용확산지원(R&D),54449
135,과학기술정보통신부,울산과학기술원연구운영비지원(R&D),90160
136,과학기술정보통신부,DB산업육성(정보화),2211
137,과학기술정보통신부,국제IT협력프로젝트운영,911
138,과학기술정보통신부,국제기구를통한정보화분야해외진출지원(정보화),194
139,과학기술정보통신부,정보통신기반보호강화(정보화),19490
140,과학기술정보통신부,SW산업해외진출역량강화,3821
141,과학기술정보통신부,디지털전문·융합인재양성,50752
142,과학기술정보통신부,한국어대형언어모델기술개발(R&D),480
143,과학기술정보통신부,AI반도체실증지원,24370
144,과학기술정보통신부,자율주행용인공지능반도체핵심기술개발(R&D),7500
145,과학기술정보통신부,ICT규제샌드박스,3865
146,과학기술정보통신부,스마트제조혁신기술개발(R&D),16932
147,과학기술정보통신부,스마트서비스창출기반확충,500
148,과학기술정보통신부,융합서비스글로벌시장진출지원,17263
149,과학기술정보통신부,6G핵심기술개발(R&D),23590
150,과학기술정보통신부,실감콘텐츠핵심기술개발(R&D),35708
151,과학기술정보통신부,스마트엣지디바이스기술개발(R&D),1100
152,과학기술정보통신부,인터넷동영상서비스글로벌경쟁력강화기술개발(R&D),1280
153,과학기술정보통신부,테라헤르츠대역전파자원기반구축(R&D),481
154,과학기술정보통신부,전파산업핵심기술개발(R&D),445
155,과학기술정보통신부,전파의료응용핵심기술개발(R&D),1444
156,과학기술정보통신부,SW컴퓨팅산업원천기술개발(R&D),94695
157,과학기술정보통신부,SW산업기반확충,24934
158,과학기술정보통신부,ICT융합산업혁신기술개발(R&D),5774
159,과학기술정보통신부,블록체인활용기반조성,12182
160,과학기술정보통신부,지능정보서비스확산,7076
161,과학기술정보통신부,디지털융합보안기반확충,8176
162,과학기술정보통신부,글로벌ICT혁신클러스터조성,8836
163,과학기술정보통신부,ICT미래시장최적화협업기술개발(R&D),620
164,과학기술정보통신부,양자센서핵심원천기술개발(R&D),3600
165,과학기술정보통신부,60㎓이하대역5G전파응용서비스활용기반조성(R&D),530
166,과학기술정보통신부,우편물류지능화기술연구개발(R&D),435
167,과학기술정보통신부,기술변화선도형방송·미디어장비기술개발(R&D),600
168,과학기술정보통신부,인공지능반도체SW통합플랫폼기술개발(R&D),7733
169,과학기술정보통신부,5G개방형네트워크핵심기술개발(R&D),8200
170,과학기술정보통신부,양자센서상용화기술개발(R&D),13812
171,과학기술정보통신부,데이터활용의료·건강생태계조성,6000
172,과학기술정보통신부,광주과학기술원연구운영비지원(R&D),97634
173,과학기술정보통신부,딥사이언스창업활성화지원(R&D),8850
174,과학기술정보통신부,국산연구장비기술경쟁력강화(R&D),7510
175,과학기술정보통신부,생성AI선도인재양성,5200
176,과학기술정보통신부,차세대생성AI기술개발,4000
177,과학기술정보통신부,AI일상화확산,30870
178,과학기술정보통신부,3GPP기반위성통신단말핵심기술개발(R&D),4281
179,과학기술정보통신부,차세대네트워크(6G)산업기술개발(R&D),86958
180,과학기술정보통신부,딥테크스케일업밸리육성,7782
181,과학기술정보통신부,XaaS선도프로젝트,6680
182,과학기술정보통신부,제로트러스트신보안체계실증확산,10637
183,과학기술정보통신부,AI반도체첨단이종집적기술개발(R&D),8250
184,과학기술정보통신부,차세대원자력혁신생태계기반조성사업,1500
185,과학기술정보통신부,지속가능한데이터센터산업발전지원,9500
186,과학기술정보통신부,양자산업수요연계형실증,5000
187,과학기술정보통신부,SW공급망보안관리체계적용·확산,6000
188,과학기술정보통신부,차세대방송미디어산업선도기반조성,1540
189,과학기술정보통신부,AI반도체지원플랫폼,3500
190,과학기술정보통신부,K-HERO육성·지원,2882
191,과학기술정보통신부,국가간상호인정협정(MRA)이행및글로벌진출지원,320
192,과학기술정보통신부,대학연구소·스타트업공동혁신R&D지원(R&D),7500
193,과학기술정보통신부,실험실창업지원,23375
194,국토교통부,지능형휴대수하물보안검색기술개발(R&D),2912
195,국토교통부,드론안전및활성화지원,22330
196,국토교통부,스마트건설지원센터운영,6715
197,국토교통부,국토교통기술사업화를위한이어달리기사업(R&D),6707
198,국토교통부,물류산업지원,2228
199,국토교통부,철도산업발전지원,4837
200,국토교통부,스마트시티확산사업,73312
201,국토교통부,노후산단재생지원(융자),41400
202,국토교통부,그린해상교량기술개발(R&D),1100
203,국토교통부,초장대K-지하고속도로인프라안전및효율향상기술개발(R&D),2935
204,국토교통부,한국형도심항공교통(K-UAM)핵심기술개발사업(R&D),21155
205,국토교통부,국토교통창업및기업지원,750
206,금융위원회,소상공인위탁보증대위변제,347946
207,금융위원회,유동화회사보증대위변제,546887
208,금융위원회,일반보증대위변제,2645225
209,금융위원회,팩토링금융(금융위),200160
210,금융위원회,핀테크지원사업,12933
211,금융위원회,대환보증대위변제,326100
212,농림축산식품부,도매유통활성화(융자),115400
213,농림축산식품부,농식품글로벌육성지원자금(융자),458246
214,농림축산식품부,식품외식종합자금(융자),163368
215,농림축산식품부,농산업수출활성화,9562
216,농림축산식품부,스마트팜ICT기자재국가표준확산지원,3277
217,농림축산식품부,농식품벤처창업활성화지원,30485
218,농림축산식품부,고품질쌀유통활성화,22085
219,농림축산식품부,종자산업활성화지원,10976
220,농림축산식품부,농식품글로벌비대면마케팅지원,9910
221,농림축산식품부,농식품시장개척,4804
222,농림축산식품부,농식품해외시장진출,51289
223,농림축산식품부,농식품글로벌경쟁력강화,92729
224,농림축산식품부,국가식품산업클러스터,24147
225,농림축산식품부,기능성식품산업육성,3254
226,농림축산식품부,전통발효식품육성,15610
227,농림축산식품부,2025축산현안대응산업화기술개발(R&D),3762
228,농림축산식품부,기술사업화지원(R&D),25573
229,농림축산식품부,고부가가치식품기술개발(R&D),40880
230,농림축산식품부,농식품산업해외진출지원,2835
231,농림축산식품부,농식품산업해외진출지원(융자),6000
232,농림축산식품부,종자산업기반구축,9846
233,농림축산식품부,사료산업종합지원,101200
234,농림축산식품부,국제협력기반수출농업경쟁력강화기술개발(R&D),6938
235,농림축산식품부,밭농업기계화촉진기술개발(R&D),5325
236,농림축산식품부,반려동물연관산업해외수출산업화,2720
237,농림축산식품부,고위험동물감염병대응기술개발(R&D),8098
238,농림축산식품부,곤충미생물산업육성지원,25837
239,기획재정부,온실가스관리인프라구축,5061
240,문화체육관광부,관광사업창업지원및벤처육성,63694
241,문화체육관광부,관광산업융자지원(융자),591863
242,문화체육관광부,관광서비스혁신성장연구개발(R&D),1160
243,문화체육관광부,지역콘텐츠산업균형발전지원,63616
244,문화체육관광부,스포츠산업금융지원(융자),248057
245,문화체육관광부,스포츠산업활성화지원,59587
246,문화체육관광부,문화중심도시육성(지자체),17254
247,문화체육관광부,영화유통지원,15354
248,문화체육관광부,영화창제작지원,21710
249,문화체육관광부,저작권보호및이용활성화기술개발(R&D),2532
250,문화체육관광부,방송영상콘텐츠산업육성,104825
251,문화체육관광부,전통문화창업및융합활성화,13933
252,문화체육관광부,문화기술연구개발(R&D),60020
253,문화체육관광부,게임산업육성,71289
254,문화체육관광부,영상콘텐츠산업육성,74472
255,문화체육관광부,음악산업및대중문화산업육성,42460
256,문화체육관광부,문화콘텐츠투자활성화,33268
257,문화체육관광부,콘텐츠산업생태계조성,44278
258,문화체육관광부,지역신문발전지원,8251
259,문화체육관광부,종목별경기력향상지원(R&D),800
260,문화체육관광부,글로벌가상공연핵심기술개발(R&D),1280
261,문화체육관광부,K-Culture글로벌스타트업육성기술개발(R&D),1967
262,문화체육관광부,선도형저작권핵심기술개발(R&D),5924
263,문화체육관광부,문화기술전문인력양성사업(R&D),7044
264,방송통신위원회,혁신형중소기업방송광고활성화지원,1883
265,방송통신위원회,지역밀착형방송광고활성화기반구축,2278
266,산림청,임산물수출촉진,7003
267,산림청,목재자원의고부가가치첨단화기술개발(R&D),4353
268,산림청,고성능목재수확기계장비개발(R&D),2667
269,산업통상자원부,신기술제품인증,2734
270,산업통상자원부,전자부품산업기술개발(R&D),162613
271,산업통상자원부,나노제품성능안전평가기술개발및기업지원,1160
272,산업통상자원부,나노융합현장수요기반실증지원,1200
273,산업통상자원부,PIM인공지능반도체핵심기술개발(R&D),17900
274,산업통상자원부,시장선도를위한한국주도형K-sensor기술개발(R&D),30239
275,산업통상자원부,"차세대지능형반도체기술개발(설계,제조)(R&D)",46310
276,산업통상자원부,전략제품창출글로벌K-팹리스육성기술개발,3631
277,산업통상자원부,화합물소재기반차세대전력반도체기술개발,6654
278,산업통상자원부,중소조선스마트생산혁신지원,4000
279,산업통상자원부,자동차산업기술개발(R&D),390424
280,산업통상자원부,조선해양산업기술개발,119165
281,산업통상자원부,"친환경차보급촉진을
위한이차보전사업",5494
282,산업통상자원부,수평적EV(전기차)산업생태계조성,1351
283,산업통상자원부,디지털융합자동차부품혁신지원센터구축,800
284,산업통상자원부,수요기반협력사밸류체인고도화및자립화패키지지원,1826
