연번,지자체명,세부사업명,예산(백만원)
1,강원,소상공인경영안정자금이자지원추진,10684.939
2,강원,유통업활성화추진,114.0
3,강원,재해소상공인이자지원추진,850.188
4,강원,관광사업체활성화지원,270.0
5,강원,강원경제선도중소기업발굴육성지원,146.0
6,강원,공예산업육성및브랜드화,60.0
7,강원,마케팅역량강화및제품경쟁력제고,373.7
8,강원,중소기업간네트워크구축및혁신활동지원,35.8
9,강원,중소기업경영활성화시책추진,279.89
10,강원,중소기업육성자금이자지원,23421.0
11,강원,창업보육센터특성화육성,605.0
12,강원,특수목적지원자금운영,25000.0
13,강원,축산물작업장위생설비개선지원,121.5
14,강원,강원의료기기전시회개최지원,202.0
15,강원,마을기업육성,32.2
16,강원,마을기업육성(국고),42.0
17,강원,강원곳간운영,146.0
18,강원,강원로컬벤처기업육성사업,700.0
19,강원,지속가능경제조직활성화추진,815.371
20,강원,지속가능경제조직기반구축,84.0
21,강원,수산산업창업·투자지원사업(국고),600.0
22,강원,식품위생업소시설개선융자사업,200.0
23,강원,유통식품및위생업소관리,513.0
24,강원,농식품산업기반구축,247.0
25,강원,강원특별자치도사회보험료지원,987.0
26,강원,생계형1인자영업자사회보험료지원,235.0
27,강원,취업촉진사업추진,8134.6
28,강원,폐광지역이전기업등지원,10707.269
29,강원,뿌리기술경쟁력강화지원,60.0
30,강원,스마트특성화기반구축(국가직접지원),636.5
31,강원,전자상거래활성화추진,870.4
32,강원,지역산업마케팅지원(전환사업),2070.0
33,강원,G-스타트업창업지원,1103.0
34,강원,지역강소기업경쟁력강화사업,100.0
35,강원,마을기업육성컨설팅등지원(전환사업),520.0
36,강원,전략기반성장동력산업집중육성(국가직접지원),4286.0
37,강원,강원바이오유망기업육성,144.0
38,강원,품질경영활성화지원,15.65
39,강원,지역맞춤형일자리창출사업(국고),618.0
40,강원,강원정규직일자리취직지원,275.0
41,강원,중소기업특별지원지역입주기업지원,196.17
42,강원,지식재산창출지원(국가직접지원),1737.0
43,강원,지식재산기반창업촉진(국가직접지원),1133.0
44,강원,디지털헬스케어규제자유특구실증지원(국가직접지원),4.286
45,강원,디지털커머스전문기관설치·운영(국가직접지원),550.0
46,강원,농식품수출기업육성지원,94.5
47,강원,수산물가공·유통기반시설및판로개척,1177.8
48,강원,해외온라인마케팅지원,604.8
49,강원,소규모사업장방지시설지원(국고),136.8
50,강원,고용창출·유지자금인센티브지원,6755.722
51,강원,청년창업자금무이자대출지원,1200.0
52,강원,강원ICT융합신기술기업지원,72.36
53,강원,소재부품장비선도기업육성지원,381.5
54,강원,수소전문기업육성지원사업,63.0
55,강원,해외바이어초청통합수출상담회추진(전환사업),400.0
56,강원,창업중심대학운영지원(국가직접지원),130.0
57,강원,협동조합활성화지원,36.0
58,강원,상권활성화사업(국고),293.7
59,경기,동반성장활성화(자체/직접),900.0
60,경기,경기도바이오기업R&DB종합지원(자체/직접),1750.0
61,경기,경기산학융합지구성과활용지원(자체/직접),850.0
62,경기,디지털혁신의료기기개발지원(자체/직접),1000.0
63,경기,기술개발사업(자체/직접),4000.0
64,경기,기술닥터(자체/지원),1606.0
65,경기,지식재산보호강화(자체/직접),876.0
66,경기,지식재산창출및창업지원(자체/직접),3500.0
67,경기,테크노파크운영지원(자체/직접),1754.0
68,경기,차세대수소에너지기술개발지원사업(자체/직접),650.0
69,경기,노동안전보건우수기업인증(자체/직접),150.0
70,경기,해외시장개척(자체/직접),300.0
71,경기,데이터산업육성지원(자체/직접),200.0
72,경기,반려동물산업스타트업발굴및창업지원(전환)(자체/직접),500.0
73,경기,3D프린팅기술지원(자체/직접),200.0
74,경기,경기도로봇산업육성지원(자체/직접),308.0
75,경기,경기도형스마트공장종합지원(자체/직접),3459.07
76,경기,드론산업육성지원(자체/직접),485.0
77,경기,뷰티산업육성지원(자체/직접),300.0
78,경기,여성창업지원(자체/직접),1475.6
79,경기,중소기업수질개선지원사업(자체/지원),328.0
80,경기,중소대기배출사업장연료전환지원사업(국비/지원),40.0
81,경기,공유기업발굴육성(자체/직접),282.0
82,경기,마을기업육성(지정)(균특/지원),110.0
83,경기,사회적경제조직육성및지원,4546.0
84,경기,물산업신기술실증화지원(자체/직접),350.0
85,경기,물산업해외마케팅지원및지방외교활성화(자체/직접),50.0
86,경기,1인소상공인고용보험료지원(자체/직접),700.0
87,경기,소상공인재창업지원(자체/직접),840.0
88,경기,여성창업지원(자체/지원),360.0
89,경기,대한민국우수상품전시회(G-FAIR)(자체/직접),2100.0
90,경기,글로벌수출기업육성(자체/직접),3400.0
